"track_id","duration_ms","name","popularity","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","id"
"6vslrH1ukOxkrkjSQxltmy",231894,"Bad Year",4,9.56e-05,0.286,0.57,0.709,1,0.106,-5.968,1,0.0414,126.001,4,0.189,235
"7f8MVQJziYYhe3Kd1FDS0J",116456,"Best of Intentions",4,0.000386,0.448,0.91,0.0236,1,0.0737,-3.63,1,0.0361,144.283,4,0.85,235
"7J6qKdQEUGw0lHQ8n8xcxG",199770,"Body",9,0.000468,0.258,0.858,0.102,0,0.103,-5.725,1,0.0664,172.713,4,0.693,235
"1EiSdeGML6EoBLZwWYqGaj",296910,"Fall Into a Dream",43,0.685,0.754,0.371,0.293,1,0.18,-9.976,0,0.0456,120.152,4,0.145,236
"2JLlDCffqN80M9M396eREj",153741,"I'll Be Alright",30,0.768,0.709,0.156,0.00498,7,0.099,-12.962,1,0.0387,76.425,4,0.548,236
"4FxdAe6BFRE7yW4zIuYm6u",260194,"Lost on You",28,0.642,0.372,0.2,0.0658,9,0.0967,-11.991,1,0.0286,94.379,3,0.0461,236
"4YvOkz9IrldHkWiDZremSr",260090,"Sunset Canyon",54,0.304,0.672,0.334,0.0637,1,0.317,-10.194,1,0.0322,110.205,4,0.434,236
"5HjzgTP3KGCKF3UwGZI4C6",168435,"Your Small Town",28,0.291,0.654,0.378,0.00312,7,0.0639,-9.269,1,0.0259,120.049,4,0.33,236
"6pGMi0hu2oMZHsL8y0zfxJ",256916,"Everything Apart",35,0.19,0.656,0.324,0.63,0,0.121,-12.341,1,0.128,80.982,3,0.11,236
"7FLSC7sUXSDAlD1xNtUxQp",179256,"In Another Life",39,0.945,0.735,0.24,6.24e-06,7,0.0937,-11.03,1,0.0444,62.52,4,0.594,236
"7nM1sBdMH8GHaZbQIIYQSl",225190,"Give It a Chance",43,0.656,0.217,0.188,0.776,11,0.0658,-13.755,0,0.0294,189.304,3,0.136,236
"7w4Xm8fTPlTxjijNg2HP9Q",174069,"To Be",36,0.299,0.579,0.358,0.000217,8,0.111,-9.89,0,0.0234,79.137,4,0.254,236
"7wLvR8mW9yBPOPVeMaXJ20",175012,"Lost In A Dream",33,0.856,0.347,0.246,0.321,5,0.114,-12.645,0,0.0299,127.605,4,0.0397,236
"20jqdKLZtUEmhajcGzllBD",381586,"Love Is Magic",9,0.14,0.697,0.715,0.0471,1,0.108,-6.025,1,0.0291,119.981,4,0.566,237
"26UaIt5U0wUIQBKOE9DW7g",341480,"Metamorphosis",4,0.194,0.422,0.721,0.0605,0,0.248,-4.797,1,0.0696,155.639,5,0.143,237
"2dUTXPzyIHNcbfGzbxYkAB",391586,"Tempest",4,0.0218,0.677,0.645,0.564,1,0.066,-8.016,1,0.0332,120.034,4,0.362,237
