"","avg_pop","max_pop","min_pop","med_pop","n","id"
"435",23.7777777777778,32,17,23,9,2200
"436",18.125,27,8,18,8,1105
"437",29.2,51,20,26,15,559
"438",14.6,29,8,11.5,10,792
"439",26.2,34,22,24.5,10,2093
"440",24.75,45,0,27,16,1086
"441",0,0,0,0,1,343
"442",6,8,4,6,9,811
"443",14.3333333333333,20,10,13.5,12,1820
"444",51.2,68,42,50,10,752
"445",47,68,12,46,13,1037
"446",5.66666666666667,21,2,3,12,480
"447",31.5833333333333,53,22,29.5,12,1411
"448",26.4,47,19,23,15,63
"449",13.8,27,9,14,10,493
"450",24.5,31,19,24.5,8,1510
"451",20.3,41,14,18,10,212
"452",30.45,45,5,28,20,359
"453",29.2,33,26,29,10,2183
"454",22.8333333333333,30,19,22,12,983
"455",36.75,54,31,34.5,16,352
"456",56.1538461538462,75,47,54,13,953
"457",52.6153846153846,79,43,50,13,1539
"458",13.4210526315789,41,4,10,19,206
"459",29.3636363636364,49,20,27,11,168
"460",17.6,31,10,15,10,842
"461",11.2,22,5,9.5,10,1345
"462",21,35,15,19,10,1660
"463",31,44,25,29,11,1710
"464",21.7058823529412,40,12,20,17,1443
"465",53.1666666666667,62,47,53,12,2027
"466",7.5,16,0,7,14,79
"467",12.9,30,6,10.5,10,1390
"468",27.8666666666667,38,23,27,15,1968
"469",2.42857142857143,4,2,2,7,188
"470",2,10,0,1,7,395
"471",0.888888888888889,6,0,0,9,1242
"472",32.7,43,26,29.5,10,1992
"473",36.9090909090909,42,31,36,11,637
"474",19.0555555555556,26,15,18,18,1918
"475",40.0714285714286,56,32,38.5,14,2054
"476",34.2222222222222,47,28,32,9,1751
"477",25.8333333333333,53,14,19.5,12,156
"478",28.6666666666667,48,18,27,9,556
"479",31.6,38,28,31,10,18
"480",61.6363636363636,79,52,60,11,576
"481",63.75,71,54,63.5,12,1551
"482",31,31,31,31,1,167
"483",30.5,40,25,29.5,12,1907
"484",28.45,34,23,29,20,423
"485",24.3,31,20,23,10,1621
"486",22.7,40,15,19.5,10,388
"487",32.8571428571429,42,27,31,7,2074
"488",14,31,7,11,9,709
"489",18.6875,37,13,18,16,1726
"490",30.5714285714286,36,26,30,7,242
"491",34.7142857142857,41,28,36,7,43
"492",36.8888888888889,44,32,35,9,1659
"493",36,44,30,36,10,1617
"494",2.9,4,2,3,10,500
"495",13,19,10,12.5,10,1502
"496",40.5,48,33,39.5,10,478
"497",49,62,43,48,11,2053
"498",29.1,41,22,28,10,1883
"499",38.4615384615385,49,33,37,13,488
"500",13.1,26,6,13,10,485
"501",17,34,9,14,11,1471
"502",39.4,47,34,39,10,1223
"503",14.5,24,7,14.5,8,339
"504",15.8181818181818,27,11,14,11,1414
"505",19.3333333333333,26,14,19,9,1841
"506",25.1,33,19,26,10,690
"507",51.1,56,45,52,10,1108
"508",33.6923076923077,50,23,28,13,1348
"509",36.9230769230769,54,29,36,13,1990
"510",39.7894736842105,60,1,41,19,1869
"511",58.25,72,52,57.5,16,2141
"512",47.9166666666667,64,34,48,12,602
"513",48.875,55,40,49.5,8,1222
"514",57.7142857142857,71,51,56,14,1970
"515",19.8,38,10,16.5,10,1395
"516",0.785714285714286,5,0,0,14,560
"517",0.5,2,0,0,10,854
"518",17.2,25,12,15.5,10,1258
"519",30.7,39,25,30.5,10,2041
"520",41.6428571428571,56,31,41,14,804
"521",28.6,38,21,26.5,10,629
"522",23.5384615384615,50,16,19,13,1920
"523",39.4166666666667,52,31,38,12,1002
"524",15.5,25,10,13.5,10,1494
"525",36.8,46,28,36.5,10,725
"526",23.6666666666667,36,17,23,9,113
"527",27.1666666666667,38,22,25,12,1721
"528",40.3333333333333,78,25,35,12,1547
"529",23.7,37,16,22.5,10,279
"530",35.95,61,0,37.5,20,1475
"531",16.1,26,12,15,10,1274
"532",44.6,57,35,40.5,10,555
"533",11.25,19,6,10,8,1763
"534",31.5,43,20,30.5,10,1322
"535",12.5,20,6,12,10,412
"536",23.3076923076923,39,16,21,13,1759
"537",49.3333333333333,63,34,48,15,1067
"538",54.8571428571429,78,39,50,14,1922
"539",30.25,53,22,28,16,40
"540",26.1,52,18,24,20,1019
"541",2.125,10,0,1,16,207
"542",34.8181818181818,50,27,36,11,1426
"543",31.9230769230769,44,0,35,13,1882
"544",43.3,58,38,41.5,20,1708
"545",72.8571428571429,87,61,70.5,14,1816
"546",9.7,31,2,5,10,1177
"547",15,27,9,11,13,1024
"548",15.7272727272727,33,10,14,11,248
"549",13.8,21,9,13,10,1286
"550",16.4,26,11,15,10,823
"551",65.7,84,54,64,20,518
"552",72.25,84,63,71,20,1919
"553",84.9375,96,78,85,16,2269
"554",68.7142857142857,90,60,67,14,2220
"555",31.2,41,24,29,10,505
"556",8.6,22,0,6,15,1356
"557",16,32,6,12,11,304
"558",12.2727272727273,31,5,10,11,1378
"559",13,23,9,11,10,1031
"560",14.6666666666667,33,7,11,12,370
"561",15.8888888888889,29,11,15,9,1279
"562",12.3333333333333,18,10,13,9,1260
"563",25,34,22,24,9,2137
"564",13.7272727272727,22,9,13,11,292
"565",29.7857142857143,41,23,27.5,14,1673
"566",33.1111111111111,52,21,31,9,732
"567",36.9,49,29,37.5,10,1587
"568",44.9090909090909,50,39,44,11,1975
"569",42.7647058823529,51,38,42,17,1225
"570",71.1818181818182,83,59,71,11,1097
"571",4.5,13,2,3,12,905
"572",19.4,35,12,15,10,1830
"573",15.8571428571429,32,6,13,7,406
"574",17.3333333333333,23,14,17,9,2153
"575",46.3333333333333,57,34,48.5,12,699
"576",45.8,60,36,42,10,1719
"577",5.4,8,4,5,5,345
"578",49.9333333333333,66,42,49,15,38
"579",49.2,57,44,48.5,10,1959
"580",15.7,23,11,16.5,10,774
"581",20.6923076923077,29,16,19,13,135
"582",40.7857142857143,53,32,40,14,864
"583",40.5294117647059,58,29,40,17,2166
"584",38.7692307692308,49,33,38,13,2124
"585",35,47,28,36,9,427
"586",61.5333333333333,76,51,60,15,1074
"587",0.571428571428571,6,0,0,14,1921
"588",8.16666666666667,20,4,5.5,12,600
"589",21.3333333333333,41,14,19,15,426
"590",21.6666666666667,30,17,20.5,12,1487
"591",27.4166666666667,34,23,26.5,12,2234
"592",6.55555555555556,11,5,6,9,436
"593",12.1111111111111,18,8,11,9,1021
"594",24.5555555555556,33,16,26,9,622
"595",33.1,40,27,32,10,1638
"596",10.4,27,6,8,10,74
"597",51.9375,74,2,54,16,419
"598",30.8421052631579,69,15,25,19,1446
"599",10.6,16,6,10.5,10,1516
"600",31.8125,71,0,26.5,16,1891
"601",13.4285714285714,26,9,12,14,1353
"602",16,28,10,15,16,86
"603",20.55,34,17,19,20,2023
"604",25.25,39,20,22.5,12,884
