"avg_pop","max_pop","min_pop","med_pop","n","id"
8.38461538461539,14,6,8,13,"wildbeasts2018lasrue"
2,10,0,1,7,"danielblumberg2018minnus"
24.7,41,15,24,10,"lomoon2018lomoon"
32.6666666666667,41,26,32,12,"metric2018artubt"
55,66,46,56,11,"gorillaz2018thenow"
10.4,20,6,9.5,10,"mybrightestdiamond2018amione"
4.75,14,2,4,12,"manicstreetpreachers2018resile"
11.7272727272727,27,0,11,11,"arp2018zebbra"
6.66666666666667,14,3,5.5,12,"sloan20181212"
46.0714285714286,59,37,45,14,"andersonpaak2018oxnard"
19,23,16,19,14,"vanmorrison2018theaks"
12.1818181818182,30,8,10,11,"mothers2018renhod"
15.8571428571429,32,6,13,7,"dungen2018myt003"
39.4,54,27,38,10,"alberthammondjr2018frable"
7.08333333333333,18,1,6.5,12,"laibach2018thesic"
27.8571428571429,50,20,23.5,14,"mountainman2018maghip"
9.5,16,5,9.5,10,"trevorpowers2018mulnce"
34.1,50,26,33,10,"bigredmachine2018bigine"
12.5,20,6,12,10,"djangodjango2018maries"
37.9230769230769,54,29,36,13,"interpol2018marder"
6.81818181818182,30,2,4,11,"77782018jelies"
50.7692307692308,65,39,51,13,"tommisch2018geophy"
38.6,45,34,39,10,"aliceinchains2018raifog"
62.2142857142857,75,52,60.5,14,"shawnmendes2018shades"
39.6153846153846,53,27,39,13,"chvrches2018lovead"
51.9375,74,2,54,16,"ellamai2018ellmai"
19.6,27,13,19.5,10,"holliecook2018vesove"
16.625,28,12,14.5,8,"preoccupations2018newial"
7.83333333333333,20,3,6.5,12,"brandoncoleman2018resnce"
28.45,34,23,29,20,"davidbyrne2018amepia"
8.55,28,3,7,20,"theorb2018nosnds"
19.0625,31,15,16.5,16,"blackmothsuperrainbow2018panoms"
21.3333333333333,41,14,19,15,"eels2018theion"
35,47,28,36,9,"editors2018vionce"
5.33333333333333,10,3,5.5,12,"jonspencer2018speits"
43.6,73,36,40,15,"alessiacara2018theing"
31.8,53,24,29.5,20,"johncarpenter2018halack"
19.6,26,18,18.5,10,"beak201833"
54.85,67,46,53,20,"lilwayne2018thaerv"
14.9333333333333,50,5,12,15,"georgefitzgerald2018alltbe"
9.45454545454546,25,4,7,11,"thelovelyeggs2018thiand"
6.55555555555556,11,5,6,9,"efrimmenuck2018pisars"
1.4,2,0,1.5,10,"peteastor2018oneost"
32.1,41,26,31.5,10,"franzferdinand2018alwing"
32,45,24,31,7,"woodenshjips2018vv"
6.6,17,3,4,10,"henogledd2018moggic"
37.2857142857143,65,25,33.5,14,"rhye2018bloood"
9.91666666666667,16,6,9.5,12,"ash2018islnds"
33.7333333333333,49,1,33,15,"christinaaguilera2018libion"
47.7857142857143,56,39,48,14,"logic2018ysisiv"
19.1666666666667,31,11,18,12,"blackrebelmotorcycleclub2018wrores"
4.41666666666667,12,1,3.5,12,"ryleywalker2018theons"
24.5,42,14,22.5,16,"themagicgang2018theang"
22.3,35,15,22,10,"starcrawler2018staler"
6.08333333333333,14,3,5,12,"mouseonmars2018dimple"
18.0909090909091,49,7,13,11,"nightmaresonwax2018shaure"
20.1111111111111,37,10,17,9,"bornruffians2018uncief"
46.0833333333333,59,39,45,12,"lordhuron2018vidoir"
19.0666666666667,31,14,18,15,"belleandsebastian2018hows13"
34.25,42,25,36.5,8,"connanmockasin2018jasers"
0.6,2,0,0.5,10,"immersion2018sleess"
42.5714285714286,74,26,39,14,"jamesbay2018eleght"
3.3,7,1,2,10,"alexistaylor2018beaing"
2,2,2,2,1,"shirt2018puruty"
25.375,46,18,21.5,8,"hilarywoods2018cololt"
66.4736842105263,79,58,65,19,"playboicarti2018dielit"
42.0666666666667,66,26,43,15,"yg2018staous"
44.8,73,37,42.5,10,"lykkeli2018sosexy"
6.41666666666667,27,1,3,12,"femikuti2018onerld"
14,23,10,13,10,"theseaandcake2018anyday"
23.5454545454545,30,20,23,11,"simpleminds2018wallds"
14.6,29,6,12,10,"tt2018lovaws"
24.5,33,19,22,10,"paulsimon2018intght"
51.25,67,45,48,20,"zayn2018icalls"
